platform,market_focus,media,domain_candidate,access_code,access_interpretation,evidence,desktop_chrome,extension_support,notes,source_urls,source_titles,research_date
YouTube,Global and North America,Video,youtube.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Free ad-supported movie catalog documented in selected countries; creator videos, Shorts and live require separate tests. Existing adapter is not proof of all surfaces.",https://support.google.com/youtube/answer/16618963?hl=en,Free Primetime Movies & Shows on YouTube - YouTube Help,2026-09-06
Twitch,Global and North America,Video,twitch.tv,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Live ads and streamer sponsorships differ; Turbo does not remove every promotion.,https://help.twitch.tv/s/article/twitch-turbo-guide?language=en_US,Turbo Overview and FAQ,2026-09-06
Dailymotion,Global and North America,Video,dailymotion.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,In-stream ads; embedded Dailymotion players are another important surface.,https://faq.dailymotion.com/hc/en-us/articles/115009132048-Ad-positions,Ad positions – Dailymotion Help Center,2026-09-06
Kick,Global and North America,Video,kick.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Official July 2026 help confirms ads; varies by viewer location/channel/language.,https://help.kick.com/en/articles/15300357-advertising-on-kick-for-viewers,Advertising on KICK For Viewers | Kick.com Help Center,2026-09-06
Rumble,Global and North America,Video,rumble.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Advertising confirmed; free/premium playback and each ad format need testing.,https://ads.rumble.com/,"Rumble | Partner With Rumble | Ad and Revenue Solutions For Advertisers, Creators, and Publishers",2026-09-06
Tubi,Global and North America,Video,tubitv.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free VOD and live channels; territory-specific catalogs and devices.,https://tubitv.com/welcome ; https://tubitv.com/help-center/About-Tubi/articles/4409969055259,Tubi: free streaming ; Tubi supported devices outside the US,2026-09-06
Pluto TV,Global and North America,Video,pluto.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free live channels and on-demand; not globally available.,https://pluto.tv/where-to-watch,Pluto TV: where to watch,2026-09-06
The Roku Channel,Global and North America,Video,therokuchannel.roku.com,M,Free/paid or mixed ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-supported catalog plus subscriptions. Roku documents web in US/Canada/UK; Mexico device-only in cited help.,https://support.roku.com/en-gb/article/get-the-roku-channel ; https://advertising.roku.com/solutions/advertise/the-roku-channel,How to get The Roku Channel | Official Roku Support United Kingdom ; The Roku Channel | Roku Advertising,2026-09-06
Plex,Global and North America,Video,watch.plex.tv,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,"Target Plex's free catalog, not the user's personal media library.",https://support.plex.tv/articles/frequently-asked-questions-vod/,FAQ - Free Movies & Shows | Plex Support,2026-09-06
Xumo Play,Global and North America,Video,play.xumo.com,F,Free ad-supported offering documented,Model documented,"Not playback-tested; verify region, plan and player",Not qualified by this research,Free ad-supported; distinguish Xumo Play from Xumo hardware.,https://support.xumo.com/hc/en-us/articles/22542847894804-Do-I-have-to-pay-for-Xumo-Play,Do I have to pay for Xumo Play? – Xumo,2026-09-06
